,책제목,artist,song_name,id,spotify_artist,O
175,꿀벌과 천둥,무소르그스키 : 전람회의 그림,2곡 고성 - Khatia Buniatishvili,5uONLpSzdrUP6N1rSKRU8o,Modest Mussorgsky,X
176,꿀벌과 천둥,Op.49,조성진,4SULy2zFlFpmIPP7KFFTyT,Jo Sung Mo,X
177,꿀벌과 천둥,Op. 9: No. 2,"조성진""",4xQMIWaPbIE2f19EaXGbLY,Frederic Chopin,X
178,작은 별이지만 빛나고 있어,힐링 네이쳐,Sea Waterwave,6lY4tHBKd7aVQW7X4TXtxt,Nature Sound Series,X
179,작은 별이지만 빛나고 있어,이루마,바다의 선율,4DkCHffANYSf3A8b3MDznV,높은음자리,X
180,작은 별이지만 빛나고 있어,Megan Wofford,Uprise,2Ys6Pl9WewP7ubO6kpevWI,Megan Wofford,O
181,작은 별이지만 빛나고 있어,Akira Kosemura,Luna,7AZCidWfobiJzWoxPB67gr,Akira Kosemura,O
182,작은 별이지만 빛나고 있어,Yellow Bridge,손끝에 닿을 듯이,4IRHwIZHzlHT1FQpRa5RdE,Elton John,X
183,작은 별이지만 빛나고 있어,Sakamoto Ryuichi,Shining Boy & Little Randy / Hoshininatta Shounen,6tBuLo6bYjq1abJJ53n7KF,Ryuichi Sakamoto,O
184,작은 별이지만 빛나고 있어,이루마,River Flows In You,3ETugKZ3CLuwtxuGuENOcX,Various Artists,O
185,작은 별이지만 빛나고 있어,Alfie-Jay Winters,Everyone Rainfalls,2wO1haAFVRv1gBLG6rc0ZX,Alfie-Jay Winters,O
186,작은 별이지만 빛나고 있어,Gavin Luke,In Pursuit Of Happiness,5PX4uS1LqlWEPL69phPVQQ,Kid Cudi,X
187,작은 별이지만 빛나고 있어,정재형,사랑하는 이들에게,3Y2Ks3xBvIhLvG1AHRtd2q,Jeong Tae chun,X
188,작은 별이지만 빛나고 있어,Jinhee JEON,Dawn Snow,6OI7UF4dZxf8BqYnA5btz2,Jeon Yonghyeon,X
189,작은 별이지만 빛나고 있어,scjazzy,500 000,20XdEFyaUR9C7aDIdq2OAd,DJ Jazzy Jeff & The Fresh Prince,X
190,작은 별이지만 빛나고 있어,로맨틱브리즈,바다가 보이는 언덕,2WSfAVIn6DVPecE4UO10m6,로맨틱브리즈,O
191,작은 별이지만 빛나고 있어,Goetz Oestlind,Anthriel : Genesis,4WUVMNkjbO2NkWf3BDE2MP,Goetz Oestlind,O
192,작은 별이지만 빛나고 있어,바이준,당신의 사랑이 늘 행복하기를,08OAWKU5pfVGrQPoiJJdCs,신효범,X
193,작은 별이지만 빛나고 있어,뉴에지 브리즈,밤하늘 그리고 별,4YaKlkNVJNbrIqN82EKFsQ,JANNABI,X
194,작은 별이지만 빛나고 있어,Remember My Song,My Romance,2rWqBm1Hs2rbw8rzJpDD71,Marina Aden,X
195,작은 별이지만 빛나고 있어,Sasaki Isao,Always In A Heart,2CD8UvBi01dwnriCM8TivL,Tevin Campbell,X
196,작은 별이지만 빛나고 있어,정재형,바람에 이는 나뭇가지,6WmRocm9w09tCZT44HU1qs,Jang Hyeon,X
197,작은 별이지만 빛나고 있어,:49 Little Fish,위로가 필요한 밤에,0jBxhRIYBsMQlXG0pIuIKs,Little Fish,O
198,작은 별이지만 빛나고 있어,:15 이루마,Letter (Winter Version),417XrKkdVRB75MosNRPmVh,Yiruma,O
199,작은 별이지만 빛나고 있어,:09 Winter Aid,The Wisp Sings'],008McaJl3WM1UqxxVie9BP,Winter Aid,O
200,달러구트 꿈 백화점,Yoshida Kiyoshi,Karakuridokei~ Time Leap,254FAW8agT5ePrypOck8yA,KISIDA KYODAN & THE AKEBOSI ROCKETS,X
