,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
137,20R4HfKloPKgXDqU7UKk3x,0.879,0.365,2,-7.781,1,0.0924,0.227,0.135,0.0583,0.663,94.016
138,4RVwu0g32PAqgUiJoXsdF8,0.332,0.225,0,-8.697,1,0.0348,0.767,0.00349,0.128,0.297,81.055
139,4ak9GGe6afmi2HbxEjvhIC,0.687,0.288,2,-10.415,1,0.045,0.863,0.0,0.0986,0.308,110.927
140,7LK0IWXe2Yd0JGgSjJThex,0.696,0.553,1,-8.702,1,0.0759,0.097,3.91e-06,0.617,0.674,114.993
141,02VBYrHfVwfEWXk5DXyf0T,0.586,0.616,5,-7.964,1,0.0324,0.182,0.0,0.0927,0.719,148.088
142,3a6FcTyvSf0ED3VXeH3PJ5,0.783,0.627,2,-8.521,1,0.102,0.00756,0.0,0.0606,0.48,100.025
143,3jiKUMXqwEodB7gVv1RMZU,0.651,0.703,0,-8.958,0,0.0816,0.0297,0.0,0.0608,0.647,140.051
144,3xVZYkcuWalGudeKl861wb,0.627,0.618,2,-8.529,1,0.0437,0.0558,0.0,0.351,0.848,82.03
145,5f7UJCMrA1VRLvbPrq1h0G,0.548,0.627,9,-8.949,1,0.0409,0.0471,0.0,0.285,0.493,143.994
146,67BOjO8BESXYNU5E6qDcUv,0.832,0.617,7,-11.166,1,0.0971,0.00295,0.000763,0.337,0.909,102.017
147,7jvCeWOSnJs2N3spqobWnO,0.708,0.598,5,-8.365,1,0.0291,0.037,0.0,0.17,0.698,112.027
148,2JUQ7mV1AHk2owXLydmN4Z,0.711,0.605,6,-9.801,0,0.031,0.0396,2.29e-05,0.104,0.807,140.981
149,2kpoReN3MY7I0tSF902n0z,0.482,0.548,11,-9.946,1,0.0373,0.0363,2.28e-06,0.3,0.346,76.017
150,2VzCjpKvPB1l1tqLndtAQa,0.807,0.595,0,-7.19,1,0.0325,0.31,2.44e-05,0.0735,0.392,92.491
151,77sMIMlNaSURUAXq5coCxE,0.569,0.741,5,-4.963,1,0.0282,0.0122,0.0,0.333,0.43,100.118
152,2nqio0SfWg6gh2eCtfuMa5,0.559,0.646,7,-4.61,1,0.0272,0.116,0.0,0.32,0.289,95.466
153,6YvqWjhGD8mB5QXcbcUKtx,0.627,0.792,2,-4.311,1,0.031,0.13,3.97e-06,0.0845,0.415,119.054
154,550erGcdD9n6PnwxrvYqZT,0.788,0.571,6,-6.135,1,0.0296,0.106,0.0,0.0934,0.797,115.99
155,5YL553x8sHderRBDlm3NM3,0.423,0.517,0,-7.377,1,0.0486,0.369,0.0,0.177,0.366,185.262
156,1qrpoAMXodY6895hGKoUpA,0.632,0.773,6,-4.856,1,0.0346,0.0623,0.0,0.0885,0.474,130.033
157,7HC7R2D8WjXVcUHJyEGjRs,0.506,0.626,1,-6.066,1,0.0287,0.156,0.0,0.228,0.321,148.035
