,id,url,Artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
74,4txKMpsSfZRV6durPuHVq0,https://open.spotify.com/track/4txKMpsSfZRV6durPuHVq0,Playboi Carti,0.819,0.638,10.0,-4.831,0.0,0.226,0.031,0.000116,0.152,0.167,150.993,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']"
75,5uYqmEN6TAAE8ss8YmprNV,https://open.spotify.com/track/5uYqmEN6TAAE8ss8YmprNV,Playboi Carti,0.437,0.671,1.0,-4.985,1.0,0.122,0.00124,9.87e-06,0.136,0.0936,197.192,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']"
76,15JRvf02KKGHKgC31jrpuh,https://open.spotify.com/track/15JRvf02KKGHKgC31jrpuh,Playboi Carti,0.764,0.512,1.0,-6.814,1.0,0.3,0.00158,0.0,0.0899,0.586,81.541,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']"
77,4CzhtKifG867Lu5DNQVBSA,https://open.spotify.com/track/4CzhtKifG867Lu5DNQVBSA,Playboi Carti,0.642,0.69,11.0,-5.101,1.0,0.261,0.00599,1.3e-06,0.322,0.641,164.075,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']"
78,7ejepEh5DJ79YI6owGRfkk,https://open.spotify.com/track/7ejepEh5DJ79YI6owGRfkk,Playboi Carti,0.888,0.833,6.0,-6.546,0.0,0.0737,0.0631,0.0,0.106,0.948,130.054,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']"
79,78YTl0P96kBCBXUSzKoqAm,https://open.spotify.com/track/78YTl0P96kBCBXUSzKoqAm,Playboi Carti,0.705,0.752,7.0,-6.87,1.0,0.095,0.0283,0.0,0.299,0.305,142.051,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']"
80,5fSZXFOZfPVW9gvnnG4ZVW,https://open.spotify.com/track/5fSZXFOZfPVW9gvnnG4ZVW,Playboi Carti,0.699,0.408,10.0,-7.916,0.0,0.352,0.0145,0.00155,0.123,0.139,76.444,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']"
81,3dl8bSF08LQfCf4T6CCksf,https://open.spotify.com/track/3dl8bSF08LQfCf4T6CCksf,Playboi Carti,0.598,0.476,0.0,-3.673,1.0,0.0333,0.00584,0.0,0.265,0.0545,150.078,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']"
82,2iqHcRoOfLl1fXCf1bGO0J,https://open.spotify.com/track/2iqHcRoOfLl1fXCf1bGO0J,Playboi Carti,0.691,0.756,8.0,-5.638,0.0,0.352,0.0117,0.0,0.257,0.396,144.188,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']"
83,1Bg2CNZw6S4e9cGWPmi0uI,https://open.spotify.com/track/1Bg2CNZw6S4e9cGWPmi0uI,Playboi Carti,0.891,0.628,1.0,-6.35,1.0,0.105,0.000674,0.0,0.119,0.04,131.06,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']"
84,29TPjc8wxfz4XMn21O7VsZ,https://open.spotify.com/track/29TPjc8wxfz4XMn21O7VsZ,Playboi Carti,0.785,0.903,2.0,-4.184,1.0,0.21,0.258,0.0,0.169,0.565,139.98,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']"
85,08dz3ygXyFur6bL7Au8u8J,https://open.spotify.com/track/08dz3ygXyFur6bL7Au8u8J,Playboi Carti,0.622,0.946,7.0,-3.593,0.0,0.0534,0.044,0.0,0.0838,0.336,130.07,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']"
86,1BpKJw4RZxaFB88NE5uxXf,https://open.spotify.com/track/1BpKJw4RZxaFB88NE5uxXf,Playboi Carti,0.684,0.693,4.0,-6.651,0.0,0.0339,0.00534,0.0,0.506,0.108,134.988,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']"
87,7rbalRuIx7sIXFHYTphE0n,https://open.spotify.com/track/7rbalRuIx7sIXFHYTphE0n,Playboi Carti,0.759,0.67,1.0,-5.188,0.0,0.0589,0.00471,0.0,0.0889,0.418,148.938,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']"
88,03rcC8SVxCa9UdY5qgkITe,https://open.spotify.com/track/03rcC8SVxCa9UdY5qgkITe,Playboi Carti,0.815,0.762,2.0,-5.045,1.0,0.219,0.00821,0.0,0.337,0.317,140.092,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']"
89,1xVVYE1ahLotRpppJViVzs,https://open.spotify.com/track/1xVVYE1ahLotRpppJViVzs,Playboi Carti,0.733,0.703,11.0,-6.451,1.0,0.0906,0.205,1.62e-05,0.158,0.0966,141.047,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']"
90,3mC8VlVBwdVxCTq4cYZr64,https://open.spotify.com/track/3mC8VlVBwdVxCTq4cYZr64,Dua Lipa,0.875,0.813,7.0,-4.502,1.0,0.0579,0.00618,0.0,0.321,0.859,114.993,"['dance pop', 'pop', 'uk pop']"
91,1AVtceapuF36oZqI9gzp0o,https://open.spotify.com/track/1AVtceapuF36oZqI9gzp0o,Dua Lipa,0.793,0.793,11.0,-4.521,0.0,0.083,0.0123,0.0,0.0951,0.679,123.95,"['dance pop', 'pop', 'uk pop']"
92,4GE0As8SVSjCMVYkRaaWwJ,https://open.spotify.com/track/4GE0As8SVSjCMVYkRaaWwJ,Dua Lipa,0.469,0.785,5.0,-4.015,0.0,0.0664,0.133,1.55e-06,0.0931,0.79,89.719,"['dance pop', 'pop', 'uk pop']"
93,7toYVidBIpAmM8Ife3LGrP,https://open.spotify.com/track/7toYVidBIpAmM8Ife3LGrP,Dua Lipa,0.647,0.844,0.0,-3.756,1.0,0.0457,0.0137,0.000658,0.102,0.746,146.967,"['dance pop', 'pop', 'uk pop']"
94,1dI77VhaLcQSgQLSnIs03D,https://open.spotify.com/track/1dI77VhaLcQSgQLSnIs03D,Dua Lipa,0.695,0.884,6.0,-2.278,0.0,0.0753,0.0561,0.0,0.213,0.914,103.014,"['dance pop', 'pop', 'uk pop']"
95,5Pc594FhDA2Fa2prE75GT0,https://open.spotify.com/track/5Pc594FhDA2Fa2prE75GT0,Dua Lipa,0.906,0.474,1.0,-6.124,1.0,0.194,0.0311,5.5e-06,0.286,0.656,106.976,"['dance pop', 'pop', 'uk pop']"
96,2MUKw7zEirXqdZZ3xC4hOf,https://open.spotify.com/track/2MUKw7zEirXqdZZ3xC4hOf,Dua Lipa,0.627,0.69,10.0,-5.396,0.0,0.139,0.033,0.0,0.0742,0.627,122.053,"['dance pop', 'pop', 'uk pop']"
97,1imMjt1YGNebtrtTAprKV7,https://open.spotify.com/track/1imMjt1YGNebtrtTAprKV7,Dua Lipa,0.659,0.667,11.0,-4.668,0.0,0.0339,0.00173,2.85e-05,0.1,0.468,115.982,"['dance pop', 'pop', 'uk pop']"
98,59CrwNtNqzOmODXRxwaknc,https://open.spotify.com/track/59CrwNtNqzOmODXRxwaknc,Dua Lipa,0.73,0.729,4.0,-3.434,0.0,0.0884,0.167,1.39e-06,0.349,0.467,113.011,"['dance pop', 'pop', 'uk pop']"
